Satır 1 | Bitcoin | 150.000 doları görecek | Yıl sonu
Satır 446 | Enflasyon | %32'ye düşecektir | Önümüzdeki 12 ayda
Satır 447 | Sterlin | 48 TL seviyesini aşar | kısa vadede
Satır 452 | Gram altın | 4500 TL | 2026 sonunda
Satır 454 | Petrol fiyatları | 115 doları aşar | 6 ay içinde
Satır 456 | Türkiye'rin kredi notu | iki kademe yükselir | 1 yıl içinde
Satır 457 | İşsizlik oranı | %8.8'de düşer | Yıl sonuna kadar
Satır 458 | İhraçat rakamları | 310 milyon dolar | 2026 sonu
Satır 459 | Bütçe açığı | %6 azalır | Yıl sonunda
Satır 460 | Vergi gelirleri | %15 artışı | 6 ay içinde
Satır 461 | Turizm gelirleri | 60 milyon dolar | bu yıl
Satır 462 | USD/JPY paritesi | 138 seviyesine düşer | 3 ayda
Satır 463 | Bitcoin | %62 | Yıl sonunda
Satır 465 | Optimism | 9 dolar | Yıl sonuna kadar
Satır 466 | Sui | %80 değer kazanacak | 
Satır 467 | Aptos | 45 dolar | 
Satır 468 | Celestia | 35 dolar | Kısa vadede
Satır 469 | Dolar | 120 TL | Yıl sonu
Satır 472 | Stacks | %25 yükseliş yapar | 
Satır 473 | Worldcoin | 18 dolar | yıl sonuna kadar
Satır 476 | Microsoft | 520 dolar | kısa vadeli
Satır 477 | Google | 210 doları | 3 ay içinde
Satır 478 | Meta | 650 TL | Yıl sonuna kadar
Satır 479 | Amazon | $230 | 6 ay
Satır 480 | Tesla | 380 dolar | 
Satır 481 | Netflix | 720 dolar | 
Satır 482 | Adobe | 680 dolar | yıl sonu
Satır 483 | AMD | 260 dolara | 6 ay içinde
Satır 484 | Intel | 58 dolar olur | Yıl sonuna kadar
Satır 485 | Broadcom | 1700 dollars | short term
Satır 486 | TSMC | 220 dolar | 3 ay içinde
Satır 487 | ASML | 1300 dolar | Yıl sonu
Satır 488 | ARM | 215 Dolar | 6 Ay içinde
Satır 490 | Snowflake | 280 | Yıl sonuna kadar
Satır 491 | Coinbase | 420 Doları | 6 ay içinde
Satır 492 | Dolar | 2800 | Yıl sonu
Satır 494 | BIST 100 endeksi | 16.000 puan olacak | Yıl sonunda
Satır 495 | S&P 500 endeksi | %12 yükselir | 3 ayda
Satır 496 | Nasdaq 100 | 23,000 puan | Yıl sonu
Satır 498 | Nikkei 225 | 48.000 puan | kısa vadede
Satır 501 | Bakır | %25 artacak | 1 yıl içinde
Satır 502 | Alüminyum ton fiyatı | 3200 dolar | Yıl sonuna kadar
Satır 503 | Uranyum fiyatları | 160 dolar | 6 ay içinde
Satır 504 | Büğday fiyatları | %22 yükselir | yıl sonu
Satır 505 | Mısır fiyatları | %18 artış | 3 ayda
Satır 507 | Kakao fiyatları | 9.000 doları korur | yıl sonuna kadar
Satır 508 | Konut fiyatları | %45 artış gösterir | 1 yıl
Satır 509 | Kira fiyatları | %12 artacak | 6 ay içinde
Satır 511 | Ofis kiraları | %20 artış | Yıl sonunda
Satır 512 | yazlik fiyatlar | %60 zamlanar | önümüzdeki yaz
Satır 513 | Petrol | 110 dolar | 
Satır 514 | Dolar | 39 TL | 
Satır 516 | Enflasyon | %38 | Yıl sonu
Satır 517 | Altın |  | 6 ay
Satır 519 | Fon Yönetimi | %50 getiri hedefi | 1 yılda
Satır 520 | Faiz | %4 düşer | Eylül
Satır 521 | Gümüş | 45 Doları | 
Satır 522 | Portföyüm | %110 | 
Satır 523 | Nakit oranım | %8'e düşecek | 3 ay içinde
Satır 524 | Türk Telekom hissesi | 75 TL seviyesine ulaşır | önümüzdeki 6 ayda
Satır 525 | Pegasus | 1350 TL | Yıl sonu
Satır 526 | Koza Altın | %25 değer kazanacak | 3 ay içinde
Satır 527 | Mavi Giyim | 180 TL direncini kırar | yıl sonuna kadar
Satır 528 | Aselsan | 200 TL | Önümüzdeki 12 ayda
Satır 529 | Kontrolmatik | %45 prim | 6 ay içinde
Satır 530 | Astor Enerji | 145 TL | Kısa vadeli (short-term)
Satır 531 | Alarko Holding | 175 TL | Yıl sonuna kadar
Satır 532 | Turkcell | 115 TL | Önümüzdeki 3 ay
Satır 533 | Migros hissesi | 900 TL'yi aşacak | 1 yıl içinde
Satır 534 | Şok Marketler | 85 TL | Yıl sonuna kadar
Satır 535 | Ülker Bisküvi | %30 yükseliş | 6 ay içinde
Satır 536 | Anadolu Efes | 320 TL | sene sonu
Satır 537 | Coca Cola İçecek | 950 TL | 3 ayda
Satır 538 | Tofaş Oto | 420 TL | yıl sonuna kadar
Satır 539 | Ford Otosan | 1400 TL | Önümüzdeki 6 ayda
Satır 540 | Borusan Yatırım | %80 değer kazanacak | 1 yıl içinde
Satır 541 | Oyak Çimento | 95 TL olacak | Yıl sonuna kadar
Satır 542 | Akçasa | 210 TL | 3 ay içinde
Satır 543 | Tekfen Holding | > 100 TL | 6 ay içinde
Satır 544 | Enka İnşaat | 65 TL | Yıl sonu
Satır 547 | Reeder Teknoloji | 90 TL | 6 ay içinde
Satır 548 | Mia Teknoloji | 105 TL | Yıl sonuna kadar
Satır 551 | Europower Enerji | 280 TL | Yıl sonu
Satır 552 | Alfa Solar | 160 TL olacak | 6 ay içinde
Satır 553 | Girişim Elektrik | %20 yükselir | 3 ay
Satır 554 | Bitcoin | 165.000 dolar | 2026 ortasında
Satır 555 | Ethereum | %15 değer kazanacak | Önümüzdeki ay
Satır 557 | Avalanche | 145 dolar | yıl sonuna kadar
Satır 558 | Chainlink | 35 dollars | 3 ay içinde
Satır 560 | Polygon | 3 dolar seviyesini | önümüzdeki yıl
Satır 561 | Arbitrum | 3.20 dolar | 6 ay içinde
Satır 563 | Celestia | 45 dolar | kısa vadede
Satır 565 | Near Protocol | 14 | Yıl sonuna kadar
Satır 567 | Toker | 22 dolar | Yıl sonu
